"","group","Description","pvalue","ratio"
"GO:00432691","C7","regulation of ion transport",0.188905775379769,"1/76"
"GO:0070972","C7","protein localization to endoplasmic reticulum",0.188905775379769,"1/76"
"GO:00067935","C7","phosphorus metabolic process",0.191306698205703,"7/76"
"GO:00650086","C7","regulation of biological quality",0.199919721012222,"6/76"
"GO:00346371","C7","cellular carbohydrate biosynthetic process",0.201047254944747,"2/76"
"GO:00098352","C7","fruit ripening",0.201883282973692,"1/76"
"GO:19011356","C7","carbohydrate derivative metabolic process",0.20493810789784,"6/76"
"GO:00160522","C7","carbohydrate catabolic process",0.20517469507075,"3/76"
"GO:00346553","C7","nucleobase-containing compound catabolic process",0.206900465573449,"2/76"
"GO:00488691","C7","cellular developmental process",0.206900465573449,"2/76"
"GO:00160534","C7","organic acid biosynthetic process",0.213449653923465,"5/76"
"GO:00463944","C7","carboxylic acid biosynthetic process",0.213449653923465,"5/76"
"GO:00090672","C7","aspartate family amino acid biosynthetic process",0.214655839405362,"1/76"
"GO:0009767","C7","photosynthetic electron transport chain",0.214655839405362,"1/76"
"GO:0019953","C7","sexual reproduction",0.214655839405362,"1/76"
"GO:0044703","C7","multi-organism reproductive process",0.214655839405362,"1/76"
"GO:01400141","C7","mitotic nuclear division",0.214655839405362,"1/76"
"GO:00300012","C7","metal ion transport",0.224564922416337,"2/76"
"GO:00517042","C7","multi-organism process",0.226096925727132,"3/76"
"GO:00000971","C7","sulfur amino acid biosynthetic process",0.227226638943103,"1/76"
"GO:00517261","C7","regulation of cell cycle",0.230481357194727,"2/76"
"GO:0001505","C7","regulation of neurotransmitter levels",0.239598826733354,"1/76"
"GO:0010639","C7","negative regulation of organelle organization",0.239598826733354,"1/76"
"GO:0040029","C7","regulation of gene expression, epigenetic",0.239598826733354,"1/76"
"GO:0042133","C7","neurotransmitter metabolic process",0.239598826733354,"1/76"
"GO:0051129","C7","negative regulation of cellular component organization",0.239598826733354,"1/76"
"GO:0051235","C7","maintenance of location",0.239598826733354,"1/76"
"GO:00108175","C7","regulation of hormone levels",0.248289139263677,"2/76"
"GO:00075683","C7","aging",0.251775499545884,"1/76"
"GO:00090662","C7","aspartate family amino acid metabolic process",0.251775499545884,"1/76"
"GO:0009657","C7","plastid organization",0.251775499545884,"1/76"
"GO:00217002","C7","developmental maturation",0.251775499545884,"1/76"
"GO:0030244","C7","cellulose biosynthetic process",0.251775499545884,"1/76"
"GO:00457861","C7","negative regulation of cell cycle",0.251775499545884,"1/76"
"GO:00510491","C7","regulation of transport",0.251775499545884,"1/76"
"GO:00716952","C7","anatomical structure maturation",0.251775499545884,"1/76"
"GO:00068751","C7","cellular metal ion homeostasis",0.263759706507846,"1/76"
"GO:00090701","C7","serine family amino acid biosynthetic process",0.263759706507846,"1/76"
"GO:0051052","C7","regulation of DNA metabolic process",0.263759706507846,"1/76"
"GO:0051274","C7","beta-glucan biosynthetic process",0.263759706507846,"1/76"
"GO:00467003","C7","heterocycle catabolic process",0.266147934990698,"2/76"
"GO:00434125","C7","macromolecule modification",0.269871324356479,"7/76"
"GO:00096061","C7","tropism",0.275554449826861,"1/76"
"GO:00986562","C7","anion transmembrane transport",0.275554449826861,"1/76"
"GO:00442703","C7","cellular nitrogen compound catabolic process",0.278060378768593,"2/76"
"GO:00300031","C7","cellular cation homeostasis",0.287162685503259,"1/76"
"GO:00550651","C7","metal ion homeostasis",0.287162685503259,"1/76"
"GO:00096201","C7","response to fungus",0.298587324031676,"1/76"
"GO:00508321","C7","defense response to fungus",0.298587324031676,"1/76"
"GO:00000962","C7","sulfur amino acid metabolic process",0.309831231092126,"1/76"
"GO:00328791","C7","regulation of localization",0.309831231092126,"1/76"
"GO:00060731","C7","cellular glucan metabolic process",0.319612323761433,"2/76"
"GO:00440421","C7","glucan metabolic process",0.319612323761433,"2/76"
"GO:00485234","C7","negative regulation of cellular process",0.319612323761433,"2/76"
"GO:0001932","C7","regulation of protein phosphorylation",0.320897228230733,"1/76"
"GO:00068731","C7","cellular ion homeostasis",0.320897228230733,"1/76"
"GO:0010564","C7","regulation of cell cycle process",0.320897228230733,"1/76"
"GO:0042325","C7","regulation of phosphorylation",0.320897228230733,"1/76"
"GO:0043549","C7","regulation of kinase activity",0.320897228230733,"1/76"
"GO:0045859","C7","regulation of protein kinase activity",0.320897228230733,"1/76"
"GO:00096073","C7","response to biotic stimulus",0.325512884487422,"2/76"
"GO:00194393","C7","aromatic compound catabolic process",0.325512884487422,"2/76"
"GO:19016073","C7","alpha-amino acid biosynthetic process",0.331401003851066,"2/76"
"GO:0006261","C7","DNA-dependent DNA replication",0.331788093530262,"1/76"
"GO:0009617","C7","response to bacterium",0.331788093530262,"1/76"
"GO:0042742","C7","defense response to bacterium",0.331788093530262,"1/76"
"GO:0006766","C7","vitamin metabolic process",0.342506562270595,"1/76"
"GO:0007346","C7","regulation of mitotic cell cycle",0.342506562270595,"1/76"
"GO:0009110","C7","vitamin biosynthetic process",0.342506562270595,"1/76"
"GO:00158492","C7","organic acid transport",0.342506562270595,"1/76"
"GO:00469422","C7","carboxylic acid transport",0.342506562270595,"1/76"
"GO:19013613","C7","organic cyclic compound catabolic process",0.343135569926152,"2/76"
"GO:00000035","C7","reproduction",0.343793501036365,"3/76"
"GO:00224145","C7","reproductive process",0.343793501036365,"3/76"
"GO:00442641","C7","cellular polysaccharide metabolic process",0.348979934485003,"2/76"
"GO:00002801","C7","nuclear division",0.353055327579321,"1/76"
"GO:0010608","C7","posttranscriptional regulation of gene expression",0.353055327579321,"1/76"
"GO:00550802","C7","cation homeostasis",0.353055327579321,"1/76"
"GO:0061024","C7","membrane organization",0.353055327579321,"1/76"
"GO:00327874","C7","monocarboxylic acid metabolic process",0.357013446664321,"3/76"
"GO:00094082","C7","response to heat",0.363437041072558,"1/76"
"GO:00096641","C7","plant-type cell wall organization",0.363437041072558,"1/76"
"GO:00987712","C7","inorganic ion homeostasis",0.363437041072558,"1/76"
"GO:0006887","C7","exocytosis",0.373654313486177,"1/76"
"GO:0032940","C7","secretion by cell",0.373654313486177,"1/76"
"GO:00458923","C7","negative regulation of transcription, DNA-templated",0.383709715297552,"1/76"
"GO:00550821","C7","cellular chemical homeostasis",0.383709715297552,"1/76"
"GO:19026793","C7","negative regulation of RNA biosynthetic process",0.383709715297552,"1/76"
"GO:19035073","C7","negative regulation of nucleic acid-templated transcription",0.383709715297552,"1/76"
"GO:00486085","C7","reproductive structure development",0.38937444019714,"2/76"
"GO:00614585","C7","reproductive system development",0.38937444019714,"2/76"
"GO:00090692","C7","serine family amino acid metabolic process",0.393605777337989,"1/76"
"GO:00101543","C7","fruit development",0.393605777337989,"1/76"
"GO:00512533","C7","negative regulation of RNA metabolic process",0.393605777337989,"1/76"
"GO:00030065","C7","developmental process involved in reproduction",0.400724436147539,"2/76"
"GO:00091163","C7","nucleoside metabolic process",0.403344991395958,"1/76"
"GO:00229001","C7","electron transport chain",0.403344991395958,"1/76"
"GO:00508012","C7","ion homeostasis",0.403344991395958,"1/76"
"GO:0051338","C7","regulation of transferase activity",0.403344991395958,"1/76"
"GO:00157112","C7","organic anion transport",0.412929810811284,"1/76"
"GO:0019220","C7","regulation of phosphate metabolic process",0.412929810811284,"1/76"
"GO:0030243","C7","cellulose metabolic process",0.412929810811284,"1/76"
"GO:00459343","C7","negative regulation of nucleobase-containing compound metabolic process",0.412929810811284,"1/76"
"GO:0051174","C7","regulation of phosphorus metabolic process",0.412929810811284,"1/76"
"GO:0051273","C7","beta-glucan metabolic process",0.422362651060406,"1/76"
"GO:19016573","C7","glycosyl compound metabolic process",0.422362651060406,"1/76"
"GO:00105583","C7","negative regulation of macromolecule biosynthetic process",0.431645890332854,"1/76"
"GO:20001133","C7","negative regulation of cellular macromolecule biosynthetic process",0.431645890332854,"1/76"
"GO:00070492","C7","cell cycle",0.434177007926487,"2/76"
"GO:00059762","C7","polysaccharide metabolic process",0.435265434353863,"3/76"
"GO:0033043","C7","regulation of organelle organization",0.440781870099077,"1/76"
"GO:00086523","C7","cellular amino acid biosynthetic process",0.445112428550101,"2/76"
"GO:00092663","C7","response to temperature stimulus",0.449772895669729,"1/76"
"GO:00098903","C7","negative regulation of biosynthetic process",0.449772895669729,"1/76"
"GO:00164581","C7","gene silencing",0.449772895669729,"1/76"
"GO:00313273","C7","negative regulation of cellular biosynthetic process",0.449772895669729,"1/76"
"GO:00723303","C7","monocarboxylic acid biosynthetic process",0.455932976462973,"2/76"
"GO:00716691","C7","plant-type cell wall organization or biogenesis",0.458621236746559,"1/76"
"GO:00482851","C7","organelle fission",0.467329127965027,"1/76"
"GO:00511723","C7","negative regulation of nitrogen compound metabolic process",0.467329127965027,"1/76"
"GO:0031399","C7","regulation of protein modification process",0.475898769428757,"1/76"
"GO:19030471","C7","mitotic cell cycle process",0.475898769428757,"1/76"
"GO:00313243","C7","negative regulation of cellular metabolic process",0.484332327235959,"1/76"
"GO:00442722","C7","sulfur compound biosynthetic process",0.484332327235959,"1/76"
"GO:00096052","C7","response to external stimulus",0.487669715790379,"2/76"
"GO:00068691","C7","lipid transport",0.492631933997938,"1/76"
"GO:00161142","C7","terpenoid biosynthetic process",0.492631933997938,"1/76"
"GO:00452291","C7","external encapsulating structure organization",0.493771478224021,"3/76"
"GO:00715551","C7","cell wall organization",0.493771478224021,"3/76"
"GO:00507934","C7","regulation of developmental process",0.508837660453493,"1/76"
"GO:00099081","C7","flower development",0.516747882493233,"1/76"
"GO:00108761","C7","lipid localization",0.516747882493233,"1/76"
"GO:00905671","C7","reproductive shoot system development",0.516747882493233,"1/76"
"GO:00488566","C7","anatomical structure development",0.521933368385218,"3/76"
"GO:00442622","C7","cellular carbohydrate metabolic process",0.523239645641094,"2/76"
"GO:00507901","C7","regulation of catalytic activity",0.524532359163542,"1/76"
"GO:00487316","C7","system development",0.53798150898601,"2/76"
"GO:00650091","C7","regulation of molecular function",0.53973193660209,"1/76"
"GO:00551144","C7","oxidation-reduction process",0.542826942176616,"2/76"
"GO:00067214","C7","terpenoid metabolic process",0.547150891600656,"1/76"
"GO:00063252","C7","chromatin organization",0.554451810616004,"1/76"
"GO:00197526","C7","carboxylic acid metabolic process",0.556735473114795,"6/76"
"GO:00002781","C7","mitotic cell cycle",0.561636546960834,"1/76"
"GO:19016054","C7","alpha-amino acid metabolic process",0.566533375640408,"2/76"
"GO:00159802","C7","energy derivation by oxidation of organic compounds",0.56870692523566,"1/76"
"GO:00434366","C7","oxoacid metabolic process",0.570158929960695,"6/76"
"GO:00488784","C7","chemical homeostasis",0.575664741767625,"1/76"
"GO:00485195","C7","negative regulation of biological process",0.57577077928373,"2/76"
"GO:00060826","C7","organic acid metabolic process",0.583394774855595,"6/76"
"GO:00197255","C7","cellular homeostasis",0.589362134672762,"2/76"
"GO:00064682","C7","protein phosphorylation",0.595880369108064,"1/76"
"GO:00715542","C7","cell wall organization or biogenesis",0.601132060218913,"3/76"
"GO:00097343","C7","auxin-activated signaling pathway",0.60240535146366,"1/76"
"GO:00432072","C7","response to external biotic stimulus",0.60240535146366,"1/76"
"GO:00517072","C7","response to other organism",0.60240535146366,"1/76"
"GO:00713653","C7","cellular response to auxin stimulus",0.60240535146366,"1/76"
"GO:00985422","C7","defense response to other organism",0.60240535146366,"1/76"
"GO:00325026","C7","developmental process",0.60468899107779,"3/76"
"GO:00427433","C7","hydrogen peroxide metabolic process",0.608826344512695,"1/76"
"GO:00427443","C7","hydrogen peroxide catabolic process",0.608826344512695,"1/76"
"GO:00062601","C7","DNA replication",0.62136287946368,"1/76"
"GO:0032268","C7","regulation of cellular protein metabolic process",0.62136287946368,"1/76"
"GO:0033365","C7","protein localization to organelle",0.62136287946368,"1/76"
"GO:00170013","C7","antibiotic catabolic process",0.627481616686891,"1/76"
"GO:00066443","C7","phospholipid metabolic process",0.633502756017345,"1/76"
"GO:00082992","C7","isoprenoid biosynthetic process",0.633502756017345,"1/76"
"GO:00483672","C7","shoot system development",0.63942783377584,"1/76"
"GO:0051246","C7","regulation of protein metabolic process",0.645258362421167,"1/76"
"GO:00511873","C7","cofactor catabolic process",0.656641705085684,"1/76"
"GO:00725933","C7","reactive oxygen species metabolic process",0.656641705085684,"1/76"
"GO:00224022","C7","cell cycle process",0.667664420197366,"1/76"
"GO:00072756","C7","multicellular organism development",0.690277761728727,"2/76"
"GO:00063572","C7","regulation of transcription by RNA polymerase II",0.693716615360568,"1/76"
"GO:00425926","C7","homeostatic process",0.697416087636733,"2/76"
"GO:00067204","C7","isoprenoid metabolic process",0.698679842915493,"1/76"
"GO:00002721","C7","polysaccharide catabolic process",0.703563684233135,"1/76"
"GO:00106294","C7","negative regulation of gene expression",0.713098201080985,"1/76"
"GO:00106054","C7","negative regulation of macromolecule metabolic process",0.72683527929029,"1/76"
"GO:00098924","C7","negative regulation of metabolic process",0.739922859494231,"1/76"
"GO:00512762","C7","chromosome organization",0.739922859494231,"1/76"
"GO:00192196","C7","regulation of nucleobase-containing compound metabolic process",0.742879932414328,"6/76"
"GO:00105566","C7","regulation of macromolecule biosynthetic process",0.752585479441912,"6/76"
"GO:20001126","C7","regulation of cellular macromolecule biosynthetic process",0.752585479441912,"6/76"
"GO:00097914","C7","post-embryonic development",0.760373876265207,"1/76"
"GO:00098896","C7","regulation of biosynthetic process",0.762031715660127,"6/76"
"GO:00313266","C7","regulation of cellular biosynthetic process",0.762031715660127,"6/76"
"GO:00067904","C7","sulfur compound metabolic process",0.768102420399436,"1/76"
"GO:00063662","C7","transcription by RNA polymerase II",0.771873919661076,"1/76"
"GO:00454545","C7","cell redox homeostasis",0.779236244788633,"1/76"
"GO:00069794","C7","response to oxidative stress",0.782828973995499,"1/76"
"GO:00169993","C7","antibiotic metabolic process",0.789842212980987,"1/76"
"GO:00325016","C7","multicellular organismal process",0.791757425654463,"2/76"
"GO:00097554","C7","hormone-mediated signaling pathway",0.799945032712285,"1/76"
"GO:00328704","C7","cellular response to hormone stimulus",0.799945032712285,"1/76"
"GO:00714954","C7","cellular response to endogenous stimulus",0.799945032712285,"1/76"
"GO:00069525","C7","defense response",0.801862812506322,"2/76"
"GO:00069963","C7","organelle organization",0.804039538936234,"3/76"
"GO:00713105","C7","cellular response to organic substance",0.815728469944212,"1/76"
"GO:00065204","C7","cellular amino acid metabolic process",0.820796574071225,"2/76"
"GO:00330362","C7","macromolecule localization",0.827891456831618,"3/76"
"GO:00063556","C7","regulation of transcription, DNA-templated",0.832169050472312,"5/76"
"GO:19035066","C7","regulation of nucleic acid-templated transcription",0.832169050472312,"5/76"
"GO:20011416","C7","regulation of RNA biosynthetic process",0.832169050472312,"5/76"
"GO:00066296","C7","lipid metabolic process",0.835802923033202,"4/76"
"GO:00512526","C7","regulation of RNA metabolic process",0.842626781536507,"5/76"
"GO:00346223","C7","cellular protein-containing complex assembly",0.869643484868689,"1/76"
"GO:00442555","C7","cellular lipid metabolic process",0.881468513320016,"2/76"
"GO:00427374","C7","drug catabolic process",0.881952568067289,"1/76"
"GO:00708876","C7","cellular response to chemical stimulus",0.883889443029915,"1/76"
"GO:00081042","C7","protein localization",0.886073626119823,"2/76"
"GO:00161922","C7","vesicle-mediated transport",0.896596790113275,"1/76"
"GO:00650033","C7","protein-containing complex assembly",0.896596790113275,"1/76"
"GO:00346132","C7","cellular protein localization",0.912402925608978,"1/76"
"GO:00717052","C7","nitrogen compound transport",0.912826680562527,"2/76"
"GO:00707272","C7","cellular macromolecule localization",0.913845790293355,"1/76"
"GO:00439333","C7","protein-containing complex subunit organization",0.919386396581803,"1/76"
"GO:00062594","C7","DNA metabolic process",0.927044391539316,"1/76"
"GO:00069506","C7","response to stress",0.941411974111171,"4/76"
"GO:00090565","C7","catabolic process",0.946573189374686,"4/76"
"GO:00226073","C7","cellular component assembly",0.946861662393686,"1/76"
"GO:00516412","C7","cellular localization",0.952733931653706,"1/76"
"GO:19015755","C7","organic substance catabolic process",0.952745519255267,"3/76"
"GO:00442485","C7","cellular catabolic process",0.959450858180598,"3/76"
"GO:00086105","C7","lipid biosynthetic process",0.964460708715633,"1/76"
"GO:00150312","C7","protein transport",0.970465595675381,"1/76"
"GO:00717024","C7","organic substance transport",0.97204458840703,"2/76"
"GO:00451842","C7","establishment of protein localization",0.972852690717491,"1/76"
"GO:00158332","C7","peptide transport",0.976679290090619,"1/76"
"GO:00428862","C7","amide transport",0.976679290090619,"1/76"
"GO:00090574","C7","macromolecule catabolic process",0.982212769119594,"1/76"
"GO:00440853","C7","cellular component biogenesis",0.98796981272152,"1/76"
"GO:00071656","C7","signal transduction",0.990364147092404,"1/76"
"GO:00230526","C7","signaling",0.990688125502073,"1/76"
"GO:00071546","C7","cell communication",0.994715646562773,"1/76"
"GO:00517166","C7","cellular response to stimulus",0.99926497420152,"1/76"
"GO:00063341","C8","nucleosome assembly",1.32055768442535e-06,"5/52"
"GO:00314971","C8","chromatin assembly",1.32055768442535e-06,"5/52"
"GO:00063231","C8","DNA packaging",1.74626193242101e-06,"5/52"
"GO:00347281","C8","nucleosome organization",1.74626193242101e-06,"5/52"
"GO:00063331","C8","chromatin assembly or disassembly",3.69725177207536e-06,"5/52"
"GO:00650042","C8","protein-DNA complex assembly",7.05089321861957e-06,"5/52"
"GO:00718242","C8","protein-DNA complex subunit organization",8.58223062232392e-06,"5/52"
"GO:00711031","C8","DNA conformation change",1.03620476511979e-05,"5/52"
"GO:00069526","C8","defense response",0.000143389967792161,"9/52"
"GO:00063253","C8","chromatin organization",0.000186322007692021,"5/52"
"GO:00512763","C8","chromosome organization",0.0019461526596591,"5/52"
"GO:00069507","C8","response to stress",0.00295232582955594,"12/52"
"GO:00650034","C8","protein-containing complex assembly",0.00374051885770848,"6/52"
"GO:00224023","C8","cell cycle process",0.00614760117062872,"4/52"
"GO:00439334","C8","protein-containing complex subunit organization",0.00617419711079074,"6/52"
"GO:00000791","C8","regulation of cyclin-dependent protein serine/threonine kinase activity",0.00719506354208318,"2/52"
"GO:00719001","C8","regulation of protein serine/threonine kinase activity",0.00719506354208318,"2/52"
"GO:19040291","C8","regulation of cyclin-dependent protein kinase activity",0.00719506354208318,"2/52"
"GO:00346224","C8","cellular protein-containing complex assembly",0.0111426692251474,"5/52"
"GO:00314071","C8","oxylipin metabolic process",0.0112098583297719,"2/52"
"GO:00314081","C8","oxylipin biosynthetic process",0.0112098583297719,"2/52"
"GO:00226074","C8","cellular component assembly",0.0125489395959151,"6/52"
"GO:0044770","C8","cell cycle phase transition",0.0143188421609743,"2/52"
"GO:0044772","C8","mitotic cell cycle phase transition",0.0143188421609743,"2/52"
"GO:00070493","C8","cell cycle",0.0174158158083292,"4/52"
"GO:00065631","C8","L-serine metabolic process",0.0177554816641071,"2/52"
"GO:00160535","C8","organic acid biosynthetic process",0.0207052613027101,"6/52"
"GO:00463945","C8","carboxylic acid biosynthetic process",0.0207052613027101,"6/52"
"GO:0031347","C8","regulation of defense response",0.0234918208304259,"2/52"
"GO:00517262","C8","regulation of cell cycle",0.0237405232169899,"3/52"
"GO:00069964","C8","organelle organization",0.0237839991854925,"7/52"
"GO:00440854","C8","cellular component biogenesis",0.0246695062956475,"7/52"
"GO:00019321","C8","regulation of protein phosphorylation",0.0276824354071676,"2/52"
"GO:00423251","C8","regulation of phosphorylation",0.0276824354071676,"2/52"
"GO:00435491","C8","regulation of kinase activity",0.0276824354071676,"2/52"
"GO:00458591","C8","regulation of protein kinase activity",0.0276824354071676,"2/52"
"GO:00066332","C8","fatty acid biosynthetic process",0.0283285023018019,"3/52"
"GO:00066313","C8","fatty acid metabolic process",0.0417120811827375,"3/52"
"GO:00801341","C8","regulation of response to stress",0.0418612537242113,"2/52"
"GO:00090693","C8","serine family amino acid metabolic process",0.0444415103899063,"2/52"
"GO:00091164","C8","nucleoside metabolic process",0.0470796029016865,"2/52"
"GO:00513381","C8","regulation of transferase activity",0.0470796029016865,"2/52"
"GO:00197527","C8","carboxylic acid metabolic process",0.0478175711657435,"8/52"
"GO:00192201","C8","regulation of phosphate metabolic process",0.0497740148689073,"2/52"
"GO:00511741","C8","regulation of phosphorus metabolic process",0.0497740148689073,"2/52"
"GO:00434367","C8","oxoacid metabolic process",0.0510468630207363,"8/52"
"GO:00059756","C8","carbohydrate metabolic process",0.0521978586535978,"9/52"
"GO:19016574","C8","glycosyl compound metabolic process",0.0525232549866239,"2/52"
"GO:00060827","C8","organic acid metabolic process",0.0544172811410957,"8/52"
"GO:00098881","C8","tissue development",0.0553258566857919,"2/52"
"GO:00086106","C8","lipid biosynthetic process",0.0689183967151867,"5/52"
"GO:00313991","C8","regulation of protein modification process",0.0700896473478824,"2/52"
"GO:19030472","C8","mitotic cell cycle process",0.0700896473478824,"2/52"
"GO:00442836","C8","small molecule biosynthetic process",0.073859526187249,"6/52"
"GO:00440362","C8","cell wall macromolecule metabolic process",0.0827203664366124,"2/52"
"GO:00723304","C8","monocarboxylic acid biosynthetic process",0.0864476510578856,"3/52"
"GO:00082023","C8","steroid metabolic process",0.0892806460280063,"2/52"
"GO:00507902","C8","regulation of catalytic activity",0.0892806460280063,"2/52"
"GO:00097195","C8","response to endogenous stimulus",0.095878437089083,"4/52"
"GO:00097255","C8","response to hormone",0.095878437089083,"4/52"
"GO:00650092","C8","regulation of molecular function",0.0959912290329218,"2/52"
"GO:00517043","C8","multi-organism process",0.101570142752391,"3/52"
"GO:0006213","C8","pyrimidine nucleoside metabolic process",0.104058040750388,"1/52"
"GO:00062751","C8","regulation of DNA replication",0.104058040750388,"1/52"
"GO:00421361","C8","neurotransmitter biosynthetic process",0.104058040750388,"1/52"
"GO:00002782","C8","mitotic cell cycle",0.106318625748804,"2/52"
"GO:00060222","C8","aminoglycan metabolic process",0.113860056715248,"1/52"
"GO:00060262","C8","aminoglycan catabolic process",0.113860056715248,"1/52"
"GO:00060302","C8","chitin metabolic process",0.113860056715248,"1/52"
"GO:00060322","C8","chitin catabolic process",0.113860056715248,"1/52"
"GO:00063023","C8","double-strand break repair",0.113860056715248,"1/52"
"GO:00096853","C8","gibberellin metabolic process",0.113860056715248,"1/52"
"GO:00169982","C8","cell wall macromolecule catabolic process",0.113860056715248,"1/52"
"GO:00463482","C8","amino sugar catabolic process",0.113860056715248,"1/52"
"GO:0051259","C8","protein complex oligomerization",0.113860056715248,"1/52"
"GO:19010712","C8","glucosamine-containing compound metabolic process",0.113860056715248,"1/52"
"GO:19010722","C8","glucosamine-containing compound catabolic process",0.113860056715248,"1/52"
"GO:00100336","C8","response to organic substance",0.118768212673738,"4/52"
"GO:00060402","C8","amino sugar metabolic process",0.123556874276445,"1/52"
"GO:00161013","C8","diterpenoid metabolic process",0.123556874276445,"1/52"
"GO:00447861","C8","cell cycle DNA replication",0.123556874276445,"1/52"
"GO:0046653","C8","tetrahydrofolate metabolic process",0.123556874276445,"1/52"
"GO:0140013","C8","meiotic nuclear division",0.123556874276445,"1/52"
"GO:1903046","C8","meiotic cell cycle process",0.123556874276445,"1/52"
"GO:00064683","C8","protein phosphorylation",0.124154967685443,"2/52"
"GO:00551145","C8","oxidation-reduction process",0.124866790422625,"3/52"
"GO:00432073","C8","response to external biotic stimulus",0.12780640202975,"2/52"
"GO:00517073","C8","response to other organism",0.12780640202975,"2/52"
"GO:00985423","C8","defense response to other organism",0.12780640202975,"2/52"
"GO:00065441","C8","glycine metabolic process",0.133149600552518,"1/52"
"GO:0009867","C8","jasmonic acid mediated signaling pathway",0.133149600552518,"1/52"
"GO:0071395","C8","cellular response to jasmonic acid stimulus",0.133149600552518,"1/52"
"GO:00322681","C8","regulation of cellular protein metabolic process",0.13891114932748,"2/52"
"GO:0051321","C8","meiotic cell cycle",0.142639331241206,"1/52"
"GO:00905581","C8","plant epidermis development",0.142639331241206,"1/52"
"GO:0006730","C8","one-carbon metabolic process",0.15202715073488,"1/52"
"GO:0009753","C8","response to jasmonic acid",0.15202715073488,"1/52"
"GO:00199531","C8","sexual reproduction",0.15202715073488,"1/52"
"GO:00447031","C8","multi-organism reproductive process",0.15202715073488,"1/52"
"GO:00483162","C8","seed development",0.15202715073488,"1/52"
"GO:00485841","C8","positive regulation of response to stimulus",0.15202715073488,"1/52"
"GO:00512461","C8","regulation of protein metabolic process",0.154033527372674,"2/52"
"GO:0006760","C8","folic acid-containing compound metabolic process",0.161314132234835,"1/52"
"GO:00485833","C8","regulation of response to stimulus",0.161714046026622,"2/52"
"GO:00015051","C8","regulation of neurotransmitter levels",0.170501337864452,"1/52"
"GO:00421331","C8","neurotransmitter metabolic process",0.170501337864452,"1/52"
"GO:0042558","C8","pteridine-containing compound metabolic process",0.170501337864452,"1/52"
"GO:00327875","C8","monocarboxylic acid metabolic process",0.176470768697396,"3/52"
"GO:00090663","C8","aspartate family amino acid metabolic process",0.179589818781233,"1/52"
"GO:00090821","C8","branched-chain amino acid biosynthetic process",0.179589818781233,"1/52"
"GO:00090702","C8","serine family amino acid biosynthetic process",0.188580615287741,"1/52"
"GO:00090811","C8","branched-chain amino acid metabolic process",0.188580615287741,"1/52"
"GO:00510521","C8","regulation of DNA metabolic process",0.188580615287741,"1/52"
"GO:00096074","C8","response to biotic stimulus",0.189108757456159,"2/52"
"GO:19016074","C8","alpha-amino acid biosynthetic process",0.193077026054522,"2/52"
"GO:00096111","C8","response to wounding",0.197474756941416,"1/52"
"GO:00096202","C8","response to fungus",0.214977140845852,"1/52"
"GO:00508322","C8","defense response to fungus",0.214977140845852,"1/52"
"GO:00070172","C8","microtubule-based process",0.217103209048073,"2/52"
"GO:00192197","C8","regulation of nucleobase-containing compound metabolic process",0.221042497382474,"7/52"
"GO:1901606","C8","alpha-amino acid catabolic process",0.223587389459227,"1/52"
"GO:00105567","C8","regulation of macromolecule biosynthetic process",0.229234831245651,"7/52"
"GO:20001127","C8","regulation of cellular macromolecule biosynthetic process",0.229234831245651,"7/52"
"GO:00442556","C8","cellular lipid metabolic process",0.22958267222931,"4/52"
"GO:00104111","C8","xyloglucan metabolic process",0.232104996157143,"1/52"
"GO:00105641","C8","regulation of cell cycle process",0.232104996157143,"1/52"
"GO:19011362","C8","carbohydrate derivative catabolic process",0.232104996157143,"1/52"
"GO:00098897","C8","regulation of biosynthetic process",0.23753764426963,"7/52"
"GO:00313267","C8","regulation of cellular biosynthetic process",0.23753764426963,"7/52"
"GO:00062611","C8","DNA-dependent DNA replication",0.240530938381205,"1/52"
"GO:00422217","C8","response to chemical",0.24625318899974,"4/52"
"GO:0009063","C8","cellular amino acid catabolic process",0.2488661834644,"1/52"
"GO:00062595","C8","DNA metabolic process",0.253559753390167,"3/52"
"GO:00002802","C8","nuclear division",0.257111688733526,"1/52"
"GO:00163105","C8","phosphorylation",0.25768012828429,"2/52"
"GO:0000226","C8","microtubule cytoskeleton organization",0.265268401610607,"1/52"
"GO:00060992","C8","tricarboxylic acid cycle",0.273337259713299,"1/52"
"GO:00061012","C8","citrate metabolic process",0.273337259713299,"1/52"
"GO:0006418","C8","tRNA aminoacylation for protein translation",0.273337259713299,"1/52"
"GO:00069795","C8","response to oxidative stress",0.273989259017628,"2/52"
"GO:00086524","C8","cellular amino acid biosynthetic process",0.273989259017628,"2/52"
"GO:00161253","C8","sterol metabolic process",0.281319190954303,"1/52"
"GO:00097334","C8","response to auxin",0.286219822173213,"2/52"
"GO:00101544","C8","fruit development",0.289215113639783,"1/52"
"GO:0043038","C8","amino acid activation",0.289215113639783,"1/52"
"GO:0043039","C8","tRNA aminoacylation",0.289215113639783,"1/52"
"GO:00723502","C8","tricarboxylic acid metabolic process",0.289215113639783,"1/52"
"GO:00725271","C8","pyrimidine-containing compound metabolic process",0.289215113639783,"1/52"
"GO:0006928","C8","movement of cell or subcellular component",0.297025936566818,"1/52"
"GO:0007018","C8","microtubule-based movement",0.297025936566818,"1/52"
