"","group","Description","pvalue","ratio"
"GO:00985422","C5","defense response to other organism",0.00349137818514308,"4/53"
"GO:00171444","C5","drug metabolic process",0.0043840242553849,"9/53"
"GO:00715543","C5","cell wall organization or biogenesis",0.00509519385383525,"7/53"
"GO:00096851","C5","gibberellin metabolic process",0.00626675432533519,"2/53"
"GO:00161011","C5","diterpenoid metabolic process",0.00746676380064357,"2/53"
"GO:00096072","C5","response to biotic stimulus",0.00844126733736153,"4/53"
"GO:0042274","C5","ribosomal small subunit biogenesis",0.0101497182383614,"2/53"
"GO:00485842","C5","positive regulation of response to stimulus",0.0116283346816444,"2/53"
"GO:19015654","C5","organonitrogen compound catabolic process",0.0220678560407521,"6/53"
"GO:00096201","C5","response to fungus",0.0243453958082064,"2/53"
"GO:00313471","C5","regulation of defense response",0.0243453958082064,"2/53"
"GO:00508321","C5","defense response to fungus",0.0243453958082064,"2/53"
"GO:00096053","C5","response to external stimulus",0.0260373802002187,"4/53"
"GO:00517042","C5","multi-organism process",0.026870983141971,"4/53"
"GO:00108173","C5","regulation of hormone levels",0.0285162885841635,"3/53"
"GO:0042255","C5","ribosome assembly",0.0332998663435906,"2/53"
"GO:00485834","C5","regulation of response to stimulus",0.0364068383032066,"3/53"
"GO:00801342","C5","regulation of response to stress",0.0433353102259461,"2/53"
"GO:00424463","C5","hormone biosynthetic process",0.0543436320489314,"2/53"
"GO:0070925","C5","organelle assembly",0.0662238250528067,"2/53"
"GO:00485183","C5","positive regulation of biological process",0.066309149453709,"4/53"
"GO:00322591","C5","methylation",0.0679190452399642,"3/53"
"GO:00442484","C5","cellular catabolic process",0.0708361831962434,"8/53"
"GO:0006364","C5","rRNA processing",0.0756491590301052,"2/53"
"GO:00106281","C5","positive regulation of gene expression",0.075744022879514,"3/53"
"GO:0016072","C5","rRNA metabolic process",0.0788815760728393,"2/53"
"GO:00161141","C5","terpenoid biosynthetic process",0.0788815760728393,"2/53"
"GO:00059763","C5","polysaccharide metabolic process",0.0859955863480002,"4/53"
"GO:00097554","C5","hormone-mediated signaling pathway",0.0969523952993033,"3/53"
"GO:00328704","C5","cellular response to hormone stimulus",0.0969523952993033,"3/53"
"GO:00714954","C5","cellular response to endogenous stimulus",0.0969523952993033,"3/53"
"GO:00067212","C5","terpenoid metabolic process",0.102642340485422,"2/53"
"GO:00424453","C5","hormone metabolic process",0.102642340485422,"2/53"
"GO:00442553","C5","cellular lipid metabolic process",0.103263547828444,"5/53"
"GO:19011372","C5","carbohydrate derivative biosynthetic process",0.104657792333873,"4/53"
"GO:00099261","C5","auxin polar transport",0.105959849197107,"1/53"
"GO:00713104","C5","cellular response to organic substance",0.108378771333089,"3/53"
"GO:0022618","C5","ribonucleoprotein complex assembly",0.113364895746378,"2/53"
"GO:00063021","C5","double-strand break repair",0.115929158684284,"1/53"
"GO:0009826","C5","unidimensional cell growth",0.115929158684284,"1/53"
"GO:00099141","C5","hormone transport",0.115929158684284,"1/53"
"GO:0042168","C5","heme metabolic process",0.115929158684284,"1/53"
"GO:0046470","C5","phosphatidylcholine metabolic process",0.115929158684284,"1/53"
"GO:00609181","C5","auxin transport",0.115929158684284,"1/53"
"GO:0071826","C5","ribonucleoprotein complex subunit organization",0.117002397567722,"2/53"
"GO:00059754","C5","carbohydrate metabolic process",0.122374830776749,"8/53"
"GO:00106041","C5","positive regulation of macromolecule metabolic process",0.125214690351815,"3/53"
"GO:0002831","C5","regulation of response to biotic stimulus",0.125789376400979,"1/53"
"GO:0032101","C5","regulation of response to external stimulus",0.125789376400979,"1/53"
"GO:00097342","C5","auxin-activated signaling pathway",0.131839771838019,"2/53"
"GO:00713652","C5","cellular response to auxin stimulus",0.131839771838019,"2/53"
"GO:00098932","C5","positive regulation of metabolic process",0.132709050972645,"3/53"
"GO:00090573","C5","macromolecule catabolic process",0.133075474942887,"5/53"
"GO:00092251","C5","nucleotide-sugar metabolic process",0.135541673401768,"1/53"
"GO:00098671","C5","jasmonic acid mediated signaling pathway",0.135541673401768,"1/53"
"GO:0043900","C5","regulation of multi-organism process",0.135541673401768,"1/53"
"GO:0060560","C5","developmental growth involved in morphogenesis",0.135541673401768,"1/53"
"GO:00713951","C5","cellular response to jasmonic acid stimulus",0.135541673401768,"1/53"
"GO:00427432","C5","hydrogen peroxide metabolic process",0.135615699347911,"2/53"
"GO:00427442","C5","hydrogen peroxide catabolic process",0.135615699347911,"2/53"
"GO:00090564","C5","catabolic process",0.137821075437196,"8/53"
"GO:0016049","C5","cell growth",0.145187208414338,"1/53"
"GO:00170012","C5","antibiotic catabolic process",0.147087138767891,"2/53"
"GO:00069523","C5","defense response",0.149053679481275,"4/53"
"GO:00082992","C5","isoprenoid biosynthetic process",0.150955611679839,"2/53"
"GO:00097531","C5","response to jasmonic acid",0.154727127966673,"1/53"
"GO:00511872","C5","cofactor catabolic process",0.166628054172639,"2/53"
"GO:00725934","C5","reactive oxygen species metabolic process",0.166628054172639,"2/53"
"GO:00708874","C5","cellular response to chemical stimulus",0.180694070287364,"3/53"
"GO:00302441","C5","cellulose biosynthetic process",0.182724478781645,"1/53"
"GO:00086103","C5","lipid biosynthetic process",0.188140097115905,"4/53"
"GO:0009247","C5","glycolipid biosynthetic process",0.191853162158794,"1/53"
"GO:0048589","C5","developmental growth",0.191853162158794,"1/53"
"GO:00512741","C5","beta-glucan biosynthetic process",0.191853162158794,"1/53"
"GO:00067203","C5","isoprenoid metabolic process",0.198746906118525,"2/53"
"GO:00071654","C5","signal transduction",0.198807025076586,"5/53"
"GO:00001602","C5","phosphorelay signal transduction system",0.2008817840824,"1/53"
"GO:0000902","C5","cell morphogenesis",0.2008817840824,"1/53"
"GO:0006664","C5","glycolipid metabolic process",0.2008817840824,"1/53"
"GO:00096111","C5","response to wounding",0.2008817840824,"1/53"
"GO:0015985","C5","energy coupled proton transport, down electrochemical gradient",0.2008817840824,"1/53"
"GO:0015986","C5","ATP synthesis coupled proton transport",0.2008817840824,"1/53"
"GO:0032989","C5","cellular component morphogenesis",0.2008817840824,"1/53"
"GO:1903509","C5","liposaccharide metabolic process",0.2008817840824,"1/53"
"GO:00230524","C5","signaling",0.202763404319654,"5/53"
"GO:00002722","C5","polysaccharide catabolic process",0.202818621319222,"2/53"
"GO:00904072","C5","organophosphate biosynthetic process",0.203399280513072,"3/53"
"GO:00066294","C5","lipid metabolic process",0.2067361492839,"6/53"
"GO:00458931","C5","positive regulation of transcription, DNA-templated",0.206900465573449,"2/53"
"GO:00512541","C5","positive regulation of RNA metabolic process",0.206900465573449,"2/53"
"GO:19026801","C5","positive regulation of RNA biosynthetic process",0.206900465573449,"2/53"
"GO:19035081","C5","positive regulation of nucleic acid-templated transcription",0.206900465573449,"2/53"
"GO:0040007","C5","growth",0.209811420482069,"1/53"
"GO:00344701","C5","ncRNA processing",0.210991727011917,"2/53"
"GO:00459351","C5","positive regulation of nucleobase-containing compound metabolic process",0.215091707780729,"2/53"
"GO:0006955","C5","immune response",0.218643135942729,"1/53"
"GO:0045087","C5","innate immune response",0.218643135942729,"1/53"
"GO:0046467","C5","membrane lipid biosynthetic process",0.218643135942729,"1/53"
"GO:00067792","C5","porphyrin-containing compound biosynthetic process",0.227377983821876,"1/53"
"GO:0042254","C5","ribosome biogenesis",0.227437193293001,"2/53"
"GO:00090731","C5","aromatic amino acid family biosynthetic process",0.23601700636564,"1/53"
"GO:00069504","C5","response to stress",0.23893096721405,"7/53"
"GO:0002376","C5","immune system process",0.244561234823674,"1/53"
"GO:00096171","C5","response to bacterium",0.244561234823674,"1/53"
"GO:00427421","C5","defense response to bacterium",0.244561234823674,"1/53"
"GO:00971641","C5","ammonium ion metabolic process",0.244561234823674,"1/53"
"GO:00098911","C5","positive regulation of biosynthetic process",0.252275426102169,"2/53"
"GO:00105571","C5","positive regulation of macromolecule biosynthetic process",0.252275426102169,"2/53"
"GO:00313281","C5","positive regulation of cellular biosynthetic process",0.252275426102169,"2/53"
"GO:0006643","C5","membrane lipid metabolic process",0.253011689562877,"1/53"
"GO:0046474","C5","glycerophospholipid biosynthetic process",0.253011689562877,"1/53"
"GO:19015754","C5","organic substance catabolic process",0.256621203533448,"6/53"
"GO:00063101","C5","DNA recombination",0.261369380179969,"1/53"
"GO:00330142","C5","tetrapyrrole biosynthetic process",0.261369380179969,"1/53"
"GO:00097194","C5","response to endogenous stimulus",0.26270533667739,"3/53"
"GO:00097254","C5","response to hormone",0.26270533667739,"3/53"
"GO:00091652","C5","nucleotide biosynthetic process",0.264735786046142,"2/53"
"GO:00550863","C5","nucleobase-containing small molecule metabolic process",0.265739834758521,"3/53"
"GO:19012932","C5","nucleoside phosphate biosynthetic process",0.268891613713305,"2/53"
"GO:00096641","C5","plant-type cell wall organization",0.269635305612921,"1/53"
"GO:00071544","C5","cell communication",0.2715766651047,"5/53"
"GO:00067782","C5","porphyrin-containing compound metabolic process",0.277810454251256,"1/53"
"GO:00452292","C5","external encapsulating structure organization",0.277923333060813,"3/53"
"GO:00715552","C5","cell wall organization",0.277923333060813,"3/53"
"GO:00069793","C5","response to oxidative stress",0.281358899085835,"2/53"
"GO:00092502","C5","glucan biosynthetic process",0.285895804045233,"1/53"
"GO:00169993","C5","antibiotic metabolic process",0.289665276251955,"2/53"
"GO:00097333","C5","response to auxin",0.293815482301349,"2/53"
"GO:0045017","C5","glycerolipid biosynthetic process",0.293892322613921,"1/53"
"GO:1902600","C5","proton transmembrane transport",0.293892322613921,"1/53"
"GO:00650084","C5","regulation of biological quality",0.294673359079855,"4/53"
"GO:00160523","C5","carbohydrate catabolic process",0.297963084836179,"2/53"
"GO:00091161","C5","nucleoside metabolic process",0.301800967352185,"1/53"
"GO:00100334","C5","response to organic substance",0.302460919851581,"3/53"
"GO:00302431","C5","cellulose metabolic process",0.309622685536571,"1/53"
"GO:00330132","C5","tetrapyrrole metabolic process",0.309622685536571,"1/53"
"GO:00099662","C5","regulation of signal transduction",0.317358414430136,"1/53"
"GO:00106462","C5","regulation of cell communication",0.317358414430136,"1/53"
"GO:0015672","C5","monovalent inorganic cation transport",0.317358414430136,"1/53"
"GO:00230512","C5","regulation of signaling",0.317358414430136,"1/53"
"GO:00512731","C5","beta-glucan metabolic process",0.317358414430136,"1/53"
"GO:19016571","C5","glycosyl compound metabolic process",0.317358414430136,"1/53"
"GO:0009653","C5","anatomical structure morphogenesis",0.325009081386195,"1/53"
"GO:00098882","C5","tissue development",0.325009081386195,"1/53"
"GO:00336922","C5","cellular polysaccharide biosynthetic process",0.325009081386195,"1/53"
"GO:00090721","C5","aromatic amino acid family metabolic process",0.332575603951028,"1/53"
"GO:0022613","C5","ribonucleoprotein complex biogenesis",0.33510351418332,"2/53"
"GO:00511731","C5","positive regulation of nitrogen compound metabolic process",0.339201988579342,"2/53"
"GO:00517164","C5","cellular response to stimulus",0.339984805194824,"6/53"
"GO:00712292","C5","cellular response to acid chemical",0.34005888996554,"1/53"
"GO:00346602","C5","ncRNA metabolic process",0.343293444095736,"2/53"
"GO:00067541","C5","ATP biosynthetic process",0.347459837665884,"1/53"
"GO:00716691","C5","plant-type cell wall organization or biogenesis",0.347459837665884,"1/53"
"GO:00313252","C5","positive regulation of cellular metabolic process",0.351453915287522,"2/53"
"GO:00425452","C5","cell wall modification",0.354779335783071,"1/53"
"GO:0008654","C5","phospholipid biosynthetic process",0.362018263641559,"1/53"
"GO:00461482","C5","pigment biosynthetic process",0.362018263641559,"1/53"
"GO:00091451","C5","purine nucleoside triphosphate biosynthetic process",0.369177491256846,"1/53"
"GO:00092061","C5","purine ribonucleoside triphosphate biosynthetic process",0.369177491256846,"1/53"
"GO:00485222","C5","positive regulation of cellular process",0.371708911721463,"2/53"
"GO:0098662","C5","inorganic cation transmembrane transport",0.383260279853607,"1/53"
"GO:00160533","C5","organic acid biosynthetic process",0.385662012595484,"3/53"
"GO:00463943","C5","carboxylic acid biosynthetic process",0.385662012595484,"3/53"
"GO:0006650","C5","glycerophospholipid metabolic process",0.397034479164389,"1/53"
"GO:00091271","C5","purine nucleoside monophosphate biosynthetic process",0.397034479164389,"1/53"
"GO:00091681","C5","purine ribonucleoside monophosphate biosynthetic process",0.397034479164389,"1/53"
"GO:00092011","C5","ribonucleoside triphosphate biosynthetic process",0.397034479164389,"1/53"
"GO:0009908","C5","flower development",0.397034479164389,"1/53"
"GO:0090567","C5","reproductive shoot system development",0.397034479164389,"1/53"
"GO:00986551","C5","cation transmembrane transport",0.397034479164389,"1/53"
"GO:00091421","C5","nucleoside triphosphate biosynthetic process",0.403807936689673,"1/53"
"GO:00424402","C5","pigment metabolic process",0.403807936689673,"1/53"
"GO:0098660","C5","inorganic ion transmembrane transport",0.403807936689673,"1/53"
"GO:0034622","C5","cellular protein-containing complex assembly",0.407542577722372,"2/53"
"GO:0051128","C5","regulation of cellular component organization",0.410506723917879,"1/53"
"GO:00002712","C5","polysaccharide biosynthetic process",0.423683508932778,"1/53"
"GO:00091562","C5","ribonucleoside monophosphate biosynthetic process",0.430163096125515,"1/53"
"GO:00460341","C5","ATP metabolic process",0.430163096125515,"1/53"
"GO:0046486","C5","glycerolipid metabolic process",0.430163096125515,"1/53"
"GO:00067533","C5","nucleoside phosphate metabolic process",0.430908300046441,"2/53"
"GO:00091173","C5","nucleotide metabolic process",0.430908300046441,"2/53"
"GO:00196373","C5","organophosphate metabolic process",0.437173125512599,"3/53"
"GO:00346372","C5","cellular carbohydrate biosynthetic process",0.442908570368493,"1/53"
"GO:00511864","C5","cofactor metabolic process",0.449091744642154,"3/53"
"GO:00091242","C5","nucleoside monophosphate biosynthetic process",0.449175996768508,"1/53"
"GO:00488693","C5","cellular developmental process",0.449175996768508,"1/53"
"GO:00488781","C5","chemical homeostasis",0.449175996768508,"1/53"
"GO:00091441","C5","purine nucleoside triphosphate metabolic process",0.455374228652005,"1/53"
"GO:00092051","C5","purine ribonucleoside triphosphate metabolic process",0.455374228652005,"1/53"
"GO:00650031","C5","protein-containing complex assembly",0.461320781690371,"2/53"
"GO:19017013","C5","cellular response to oxygen-containing compound",0.461504015418079,"1/53"
"GO:00091261","C5","purine nucleoside monophosphate metabolic process",0.473561211483275,"1/53"
"GO:00091671","C5","purine ribonucleoside monophosphate metabolic process",0.473561211483275,"1/53"
"GO:00064861","C5","protein glycosylation",0.479490080117229,"1/53"
"GO:00091011","C5","glycoprotein biosynthetic process",0.479490080117229,"1/53"
"GO:00091991","C5","ribonucleoside triphosphate metabolic process",0.479490080117229,"1/53"
"GO:00434131","C5","macromolecule glycosylation",0.479490080117229,"1/53"
"GO:00422214","C5","response to chemical",0.481361861506736,"3/53"
"GO:0006260","C5","DNA replication",0.491151948956665,"1/53"
"GO:00091001","C5","glycoprotein metabolic process",0.491151948956665,"1/53"
"GO:00091521","C5","purine ribonucleotide biosynthetic process",0.491151948956665,"1/53"
"GO:00061641","C5","purine nucleotide biosynthetic process",0.496886362459812,"1/53"
"GO:00425923","C5","homeostatic process",0.501611732089514,"2/53"
"GO:0006644","C5","phospholipid metabolic process",0.502557358374237,"1/53"
"GO:00091612","C5","ribonucleoside monophosphate metabolic process",0.502557358374237,"1/53"
"GO:0048367","C5","shoot system development",0.508165624701862,"1/53"
"GO:00700851","C5","glycosylation",0.508165624701862,"1/53"
"GO:00065081","C5","proteolysis",0.508735702678716,"2/53"
"GO:00439331","C5","protein-containing complex subunit organization",0.515795545138128,"2/53"
"GO:00091232","C5","nucleoside monophosphate metabolic process",0.519196684084865,"1/53"
"GO:00091413","C5","nucleoside triphosphate metabolic process",0.519196684084865,"1/53"
"GO:00103932","C5","galacturonan metabolic process",0.519196684084865,"1/53"
"GO:00454882","C5","pectin metabolic process",0.519196684084865,"1/53"
"GO:00092602","C5","ribonucleotide biosynthetic process",0.524620816852746,"1/53"
"GO:00463902","C5","ribose phosphate biosynthetic process",0.524620816852746,"1/53"
"GO:00063554","C5","regulation of transcription, DNA-templated",0.532788221512551,"5/53"
"GO:19035064","C5","regulation of nucleic acid-templated transcription",0.532788221512551,"5/53"
"GO:20011414","C5","regulation of RNA biosynthetic process",0.532788221512551,"5/53"
"GO:00725222","C5","purine-containing compound biosynthetic process",0.5352895845156,"1/53"
"GO:00062594","C5","DNA metabolic process",0.536583663490064,"2/53"
"GO:00512524","C5","regulation of RNA metabolic process",0.547634402511399,"5/53"
"GO:00342204","C5","ion transmembrane transport",0.550853670005798,"1/53"
"GO:00060732","C5","cellular glucan metabolic process",0.555927147305392,"1/53"
"GO:00094164","C5","response to light stimulus",0.555927147305392,"1/53"
"GO:00440422","C5","glucan metabolic process",0.555927147305392,"1/53"
"GO:00011013","C5","response to acid chemical",0.565905994119827,"1/53"
"GO:00093144","C5","response to radiation",0.565905994119827,"1/53"
"GO:19016072","C5","alpha-amino acid biosynthetic process",0.565905994119827,"1/53"
"GO:00160512","C5","carbohydrate biosynthetic process",0.575664741767625,"1/53"
"GO:00488564","C5","anatomical structure development",0.576352784964009,"2/53"
"GO:00550854","C5","transmembrane transport",0.576352784964009,"2/53"
"GO:00192194","C5","regulation of nucleobase-containing compound metabolic process",0.576691298755334,"5/53"
"GO:00442642","C5","cellular polysaccharide metabolic process",0.580463070909148,"1/53"
"GO:00105564","C5","regulation of macromolecule biosynthetic process",0.58684778851044,"5/53"
"GO:20001124","C5","regulation of cellular macromolecule biosynthetic process",0.58684778851044,"5/53"
"GO:00442834","C5","small molecule biosynthetic process",0.590710983875058,"3/53"
"GO:00098894","C5","regulation of biosynthetic process",0.596881112240873,"5/53"
"GO:00313264","C5","regulation of cellular biosynthetic process",0.596881112240873,"5/53"
"GO:00226071","C5","cellular component assembly",0.598415319647344,"2/53"
"GO:00091501","C5","purine ribonucleotide metabolic process",0.612592502635684,"1/53"
"GO:00486083","C5","reproductive structure development",0.612592502635684,"1/53"
"GO:00614583","C5","reproductive system development",0.612592502635684,"1/53"
"GO:00061631","C5","purine nucleotide metabolic process",0.616980747423097,"1/53"
"GO:00030063","C5","developmental process involved in reproduction",0.621320213089317,"1/53"
"GO:00097913","C5","post-embryonic development",0.629854929003785,"1/53"
"GO:00092592","C5","ribonucleotide metabolic process",0.638200837750956,"1/53"
"GO:00067964","C5","phosphate-containing compound metabolic process",0.639775423237149,"3/53"
"GO:00062813","C5","DNA repair",0.642304273573596,"1/53"
"GO:00355563","C5","intracellular signal transduction",0.642304273573596,"1/53"
"GO:00325024","C5","developmental process",0.642844394209387,"2/53"
"GO:00068121","C5","cation transport",0.646362037593416,"1/53"
"GO:00067934","C5","phosphorus metabolic process",0.649100240206626,"3/53"
"GO:00069743","C5","cellular response to DNA damage stimulus",0.65037462847493,"1/53"
"GO:00454543","C5","cell redox homeostasis",0.65037462847493,"1/53"
"GO:00063961","C5","RNA processing",0.651265405308987,"2/53"
"GO:00086522","C5","cellular amino acid biosynthetic process",0.65434253954363,"1/53"
"GO:00725212","C5","purine-containing compound metabolic process",0.662146269185074,"1/53"
"GO:00511883","C5","cofactor biosynthetic process",0.669777068456133,"1/53"
"GO:00196932","C5","ribose phosphate metabolic process",0.677238697397478,"1/53"
"GO:19017004","C5","response to oxygen-containing compound",0.69517660580169,"1/53"
"GO:00442622","C5","cellular carbohydrate metabolic process",0.708819388161535,"1/53"
"GO:00487313","C5","system development",0.718656561335017,"1/53"
"GO:19016053","C5","alpha-amino acid metabolic process",0.737362704249861,"1/53"
"GO:00516031","C5","proteolysis involved in cellular protein catabolic process",0.746252575653696,"1/53"
"GO:00197253","C5","cellular homeostasis",0.752014433093532,"1/53"
"GO:00442571","C5","cellular protein catabolic process",0.752014433093532,"1/53"
"GO:00000034","C5","reproduction",0.771187898473936,"1/53"
"GO:00224144","C5","reproductive process",0.771187898473936,"1/53"
"GO:00068861","C5","intracellular protein transport",0.783984942884747,"1/53"
"GO:00301631","C5","protein catabolic process",0.783984942884747,"1/53"
"GO:00096284","C5","response to abiotic stimulus",0.788904763557284,"1/53"
"GO:00161922","C5","vesicle-mediated transport",0.793714600375942,"1/53"
"GO:00197524","C5","carboxylic acid metabolic process",0.798049550698252,"3/53"
"GO:00335544","C5","cellular response to stress",0.798416865813629,"1/53"
"GO:00069962","C5","organelle organization",0.803260287342159,"2/53"
"GO:00068114","C5","ion transport",0.805273717457978,"1/53"
"GO:00434364","C5","oxoacid metabolic process",0.805550792669682,"3/53"
"GO:00440852","C5","cellular component biogenesis",0.806702293164917,"2/53"
"GO:00060824","C5","organic acid metabolic process",0.812823817060106,"3/53"
"GO:00072753","C5","multicellular organism development",0.814061295407496,"1/53"
"GO:00346131","C5","cellular protein localization",0.816196669479739,"1/53"
"GO:00442651","C5","cellular macromolecule catabolic process",0.818307977784372,"1/53"
"GO:00707271","C5","cellular macromolecule localization",0.818307977784372,"1/53"
"GO:00469071","C5","intracellular transport",0.834363406208845,"1/53"
"GO:00516491","C5","establishment of localization in cell",0.847263954630527,"1/53"
"GO:00325014","C5","multicellular organismal process",0.87316246289592,"1/53"
"GO:00516411","C5","cellular localization",0.8803334196917,"1/53"
"GO:00065204","C5","cellular amino acid metabolic process",0.889708688528745,"1/53"
"GO:00150312","C5","protein transport",0.913718411083372,"1/53"
"GO:00451842","C5","establishment of protein localization",0.918631051999679,"1/53"
"GO:00081042","C5","protein localization",0.926791647041706,"1/53"
"GO:00158333","C5","peptide transport",0.926791647041706,"1/53"
"GO:00428863","C5","amide transport",0.926791647041706,"1/53"
"GO:00717054","C5","nitrogen compound transport",0.942158963306503,"1/53"
"GO:00330362","C5","macromolecule localization",0.958974606995368,"1/53"
"GO:00064644","C5","cellular protein modification process",0.96400749508154,"1/53"
"GO:00362114","C5","protein modification process",0.96400749508154,"1/53"
"GO:00434124","C5","macromolecule modification",0.977965354141419,"1/53"
"GO:00717024","C5","organic substance transport",0.977965354141419,"1/53"
"GO:00064124","C6","translation",5.40810487635561e-10,"16/38"
"GO:00430434","C6","peptide biosynthetic process",5.6702621025745e-10,"16/38"
"GO:00065184","C6","peptide metabolic process",1.41234804874264e-09,"16/38"
"GO:00436044","C6","amide biosynthetic process",1.8350049148226e-09,"16/38"
"GO:00436034","C6","cellular amide metabolic process",9.64126271723383e-09,"16/38"
"GO:0016567","C6","protein ubiquitination",0.000282405284340576,"4/38"
"GO:0032446","C6","protein modification by small protein conjugation",0.000521334387282059,"4/38"
"GO:0070647","C6","protein modification by small protein conjugation or removal",0.00216672424079389,"4/38"
"GO:00516032","C6","proteolysis involved in cellular protein catabolic process",0.00249854174149318,"5/38"
"GO:00442572","C6","cellular protein catabolic process",0.00268442472858685,"5/38"
"GO:00033332","C6","amino acid transmembrane transport",0.00389008188412749,"2/38"
"GO:00301632","C6","protein catabolic process",0.00401808151855833,"5/38"
"GO:00068652","C6","amino acid transport",0.00457430581167491,"2/38"
"GO:00068202","C6","anion transport",0.00561541002828651,"3/38"
"GO:00425924","C6","homeostatic process",0.00628594539418379,"5/38"
"GO:00442652","C6","cellular macromolecule catabolic process",0.00628594539418379,"5/38"
"GO:00065082","C6","proteolysis",0.0066449652224382,"5/38"
"GO:19038252","C6","organic acid transmembrane transport",0.00693211296054994,"2/38"
"GO:19050392","C6","carboxylic acid transmembrane transport",0.00693211296054994,"2/38"
"GO:00199411","C6","modification-dependent protein catabolic process",0.0102013989219541,"4/38"
"GO:00436321","C6","modification-dependent macromolecule catabolic process",0.0105300577363731,"4/38"
"GO:00986562","C6","anion transmembrane transport",0.0107578333518201,"2/38"
"GO:00650085","C6","regulation of biological quality",0.0124765455119752,"6/38"
"GO:00197254","C6","cellular homeostasis",0.0158718250563883,"4/38"
"GO:00158492","C6","organic acid transport",0.0178573692918142,"2/38"
"GO:00469422","C6","carboxylic acid transport",0.0178573692918142,"2/38"
"GO:19015655","C6","organonitrogen compound catabolic process",0.019786191385494,"5/38"
"GO:00157112","C6","organic anion transport",0.0280161365419844,"2/38"
"GO:00424464","C6","hormone biosynthetic process",0.0296193791134063,"2/38"
"GO:00442485","C6","cellular catabolic process",0.0353286602788692,"7/38"
"GO:00454544","C6","cell redox homeostasis",0.03716087764382,"3/38"
"GO:00090574","C6","macromolecule catabolic process",0.0426955192863578,"5/38"
"GO:00424454","C6","hormone metabolic process",0.0576418057763528,"2/38"
"GO:00488782","C6","chemical homeostasis",0.0662238250528067,"2/38"
"GO:00090565","C6","catabolic process",0.070086042874532,"7/38"
"GO:00100352","C6","response to inorganic substance",0.0729246013923419,"2/38"
"GO:00064645","C6","cellular protein modification process",0.0764305841586986,"5/38"
"GO:00362115","C6","protein modification process",0.0764305841586986,"5/38"
"GO:0010167","C6","response to nitrate",0.077047670211571,"1/38"
"GO:0016129","C6","phytosteroid biosynthetic process",0.077047670211571,"1/38"
"GO:0055088","C6","lipid homeostasis",0.077047670211571,"1/38"
"GO:00108174","C6","regulation of hormone levels",0.0821852855329578,"2/38"
"GO:19015755","C6","organic substance catabolic process",0.0826260769785392,"6/38"
"GO:00096852","C6","gibberellin metabolic process",0.0844266284551979,"1/38"
"GO:00098261","C6","unidimensional cell growth",0.0844266284551979,"1/38"
"GO:0015698","C6","inorganic anion transport",0.0844266284551979,"1/38"
"GO:00347622","C6","regulation of transmembrane transport",0.0844266284551979,"1/38"
"GO:00347652","C6","regulation of ion transmembrane transport",0.0844266284551979,"1/38"
"GO:0000387","C6","spliceosomal snRNP assembly",0.0917481326889318,"1/38"
"GO:0006662","C6","glycerol ether metabolic process",0.0917481326889318,"1/38"
"GO:00161012","C6","diterpenoid metabolic process",0.0917481326889318,"1/38"
"GO:0016128","C6","phytosteroid metabolic process",0.0917481326889318,"1/38"
"GO:0018904","C6","ether metabolic process",0.0917481326889318,"1/38"
"GO:0000070","C6","mitotic sister chromatid segregation",0.0990126182620364,"1/38"
"GO:00432692","C6","regulation of ion transport",0.0990126182620364,"1/38"
"GO:00605601","C6","developmental growth involved in morphogenesis",0.0990126182620364,"1/38"
"GO:00068115","C6","ion transport",0.106104330366999,"3/38"
"GO:00160491","C6","cell growth",0.10622051731594,"1/38"
"GO:1901698","C6","response to nitrogen compound",0.10622051731594,"1/38"
"GO:00342205","C6","ion transmembrane transport",0.109340342823277,"2/38"
"GO:00422215","C6","response to chemical",0.111390818014164,"4/38"
"GO:0000819","C6","sister chromatid segregation",0.1133722588072,"1/38"
"GO:0140014","C6","mitotic nuclear division",0.1133722588072,"1/38"
"GO:00011014","C6","response to acid chemical",0.117119990112552,"2/38"
"GO:00434125","C6","macromolecule modification",0.118087457715832,"5/38"
"GO:00717055","C6","nitrogen compound transport",0.133284573969108,"4/38"
"GO:00060961","C6","glycolytic process",0.134494780175465,"1/38"
"GO:00061651","C6","nucleoside diphosphate phosphorylation",0.134494780175465,"1/38"
"GO:00067571","C6","ATP generation from ADP",0.134494780175465,"1/38"
"GO:00091321","C6","nucleoside diphosphate metabolic process",0.134494780175465,"1/38"
"GO:00091351","C6","purine nucleoside diphosphate metabolic process",0.134494780175465,"1/38"
"GO:00091791","C6","purine ribonucleoside diphosphate metabolic process",0.134494780175465,"1/38"
"GO:00091851","C6","ribonucleoside diphosphate metabolic process",0.134494780175465,"1/38"
"GO:00428661","C6","pyruvate biosynthetic process",0.134494780175465,"1/38"
"GO:00460311","C6","ADP metabolic process",0.134494780175465,"1/38"
"GO:00469391","C6","nucleotide phosphorylation",0.134494780175465,"1/38"
"GO:00510492","C6","regulation of transport",0.134494780175465,"1/38"
"GO:0098813","C6","nuclear chromosome segregation",0.134494780175465,"1/38"
"GO:00485891","C6","developmental growth",0.141426118079223,"1/38"
"GO:00009021","C6","cell morphogenesis",0.148303396222771,"1/38"
"GO:0007059","C6","chromosome segregation",0.148303396222771,"1/38"
"GO:00329891","C6","cellular component morphogenesis",0.148303396222771,"1/38"
"GO:1990542","C6","mitochondrial transmembrane transport",0.148303396222771,"1/38"
"GO:00400071","C6","growth",0.155127024926868,"1/38"
