"","TF","Description","pvalue","ratio"
"GO:00424451","Solyc01g059950.1","hormone metabolic process",0.0504113839647995,"1/5"
"GO:0006468","Solyc01g059950.1","protein phosphorylation",0.0574438550140339,"1/5"
"GO:00108171","Solyc01g059950.1","regulation of hormone levels",0.0614436634980816,"1/5"
"GO:00725221","Solyc01g059950.1","purine-containing compound biosynthetic process",0.0694025441337114,"1/5"
"GO:19016151","Solyc01g059950.1","organic hydroxy compound metabolic process",0.0773073404433103,"1/5"
"GO:00163101","Solyc01g059950.1","phosphorylation",0.0910114235490403,"1/5"
"GO:0035556","Solyc01g059950.1","intracellular signal transduction",0.0919840199287224,"1/5"
"GO:0016999","Solyc01g059950.1","antibiotic metabolic process",0.0968345219842414,"1/5"
"GO:00725211","Solyc01g059950.1","purine-containing compound metabolic process",0.0968345219842414,"1/5"
"GO:00327871","Solyc01g059950.1","monocarboxylic acid metabolic process",0.132087709523209,"1/5"
"GO:00550861","Solyc01g059950.1","nucleobase-containing small molecule metabolic process",0.158026846369788,"1/5"
"GO:00650081","Solyc01g059950.1","regulation of biological quality",0.233844620020492,"1/5"
"GO:19011351","Solyc01g059950.1","carbohydrate derivative metabolic process",0.235540403895052,"1/5"
"GO:00071651","Solyc01g059950.1","signal transduction",0.261443372203691,"1/5"
"GO:00230521","Solyc01g059950.1","signaling",0.263090097749405,"1/5"
"GO:00064641","Solyc01g059950.1","cellular protein modification process",0.268012658444977,"1/5"
"GO:00362111","Solyc01g059950.1","protein modification process",0.268012658444977,"1/5"
"GO:00067961","Solyc01g059950.1","phosphate-containing compound metabolic process",0.271279724927768,"1/5"
"GO:00171441","Solyc01g059950.1","drug metabolic process",0.271279724927768,"1/5"
"GO:00067931","Solyc01g059950.1","phosphorus metabolic process",0.274535115510417,"1/5"
"GO:00071541","Solyc01g059950.1","cell communication",0.289839732620384,"1/5"
"GO:00434121","Solyc01g059950.1","macromolecule modification",0.300950649594259,"1/5"
"GO:00197521","Solyc01g059950.1","carboxylic acid metabolic process",0.335726010186601,"1/5"
"GO:00434361","Solyc01g059950.1","oxoacid metabolic process",0.339502859947278,"1/5"
"GO:00060821","Solyc01g059950.1","organic acid metabolic process",0.343262510970724,"1/5"
"GO:00517161","Solyc01g059950.1","cellular response to stimulus",0.375614918399644,"1/5"
"GO:00063551","Solyc01g059950.1","regulation of transcription, DNA-templated",0.378491601584575,"1/5"
"GO:19035061","Solyc01g059950.1","regulation of nucleic acid-templated transcription",0.378491601584575,"1/5"
"GO:20011411","Solyc01g059950.1","regulation of RNA biosynthetic process",0.378491601584575,"1/5"
"GO:00512521","Solyc01g059950.1","regulation of RNA metabolic process",0.383500278255593,"1/5"
"GO:00192191","Solyc01g059950.1","regulation of nucleobase-containing compound metabolic process",0.393420757310482,"1/5"
"GO:00105561","Solyc01g059950.1","regulation of macromolecule biosynthetic process",0.396932670676527,"1/5"
"GO:20001121","Solyc01g059950.1","regulation of cellular macromolecule biosynthetic process",0.396932670676527,"1/5"
"GO:00098891","Solyc01g059950.1","regulation of biosynthetic process",0.400428298827854,"1/5"
"GO:00313261","Solyc01g059950.1","regulation of cellular biosynthetic process",0.400428298827854,"1/5"
"GO:00067301","Solyc05g042030.3","one-carbon metabolic process",3.95951148758925e-06,"4/37"
"GO:00466531","Solyc05g042030.3","tetrahydrofolate metabolic process",9.04997850837307e-05,"3/37"
"GO:00066941","Solyc05g042030.3","steroid biosynthetic process",0.000107401620995466,"4/37"
"GO:00092251","Solyc05g042030.3","nucleotide-sugar metabolic process",0.000117020554484189,"3/37"
"GO:00161261","Solyc05g042030.3","sterol biosynthetic process",0.000184183789644901,"3/37"
"GO:00067601","Solyc05g042030.3","folic acid-containing compound metabolic process",0.000225476183878922,"3/37"
"GO:00425581","Solyc05g042030.3","pteridine-containing compound metabolic process",0.000272329487685824,"3/37"
"GO:00082021","Solyc05g042030.3","steroid metabolic process",0.000398492641381733,"4/37"
"GO:19016171","Solyc05g042030.3","organic hydroxy compound biosynthetic process",0.000469915926279534,"4/37"
"GO:19011352","Solyc05g042030.3","carbohydrate derivative metabolic process",0.000512380557571413,"8/37"
"GO:00442831","Solyc05g042030.3","small molecule biosynthetic process",0.000922427637780767,"8/37"
"GO:00067321","Solyc05g042030.3","coenzyme metabolic process",0.00103227453140913,"5/37"
"GO:00550862","Solyc05g042030.3","nucleobase-containing small molecule metabolic process",0.00132360623653599,"6/37"
"GO:19011371","Solyc05g042030.3","carbohydrate derivative biosynthetic process",0.00136677446214559,"6/37"
"GO:00161251","Solyc05g042030.3","sterol metabolic process",0.00151671980196174,"3/37"
"GO:19016051","Solyc05g042030.3","alpha-amino acid metabolic process",0.00198184812062213,"5/37"
"GO:00161291","Solyc05g042030.3","phytosteroid biosynthetic process",0.00254100139475967,"2/37"
"GO:00421361","Solyc05g042030.3","neurotransmitter biosynthetic process",0.00254100139475967,"2/37"
"GO:00065751","Solyc05g042030.3","cellular modified amino acid metabolic process",0.00258323405467421,"3/37"
"GO:19016152","Solyc05g042030.3","organic hydroxy compound metabolic process",0.00265319152466516,"4/37"
"GO:0042451","Solyc05g042030.3","purine nucleoside biosynthetic process",0.00309050396178796,"2/37"
"GO:0046129","Solyc05g042030.3","purine ribonucleoside biosynthetic process",0.00309050396178796,"2/37"
"GO:00161281","Solyc05g042030.3","phytosteroid metabolic process",0.00369050479712881,"2/37"
"GO:00442721","Solyc05g042030.3","sulfur compound biosynthetic process",0.00375527403023484,"3/37"
"GO:00344041","Solyc05g042030.3","nucleobase-containing small molecule biosynthetic process",0.00402264407703863,"3/37"
"GO:00086101","Solyc05g042030.3","lipid biosynthetic process",0.0042781842522436,"6/37"
"GO:00065441","Solyc05g042030.3","glycine metabolic process",0.00434022920488238,"2/37"
"GO:00067901","Solyc05g042030.3","sulfur compound metabolic process",0.00489046426118188,"4/37"
"GO:00059751","Solyc05g042030.3","carbohydrate metabolic process",0.00622055328165882,"9/37"
"GO:0046128","Solyc05g042030.3","purine ribonucleoside metabolic process",0.0065801228459178,"2/37"
"GO:00346371","Solyc05g042030.3","cellular carbohydrate biosynthetic process",0.00734248620731436,"3/37"
"GO:00015051","Solyc05g042030.3","regulation of neurotransmitter levels",0.00742116196034872,"2/37"
"GO:0009163","Solyc05g042030.3","nucleoside biosynthetic process",0.00742116196034872,"2/37"
"GO:00421331","Solyc05g042030.3","neurotransmitter metabolic process",0.00742116196034872,"2/37"
"GO:0042278","Solyc05g042030.3","purine nucleoside metabolic process",0.00742116196034872,"2/37"
"GO:0042455","Solyc05g042030.3","ribonucleoside biosynthetic process",0.00742116196034872,"2/37"
"GO:00090661","Solyc05g042030.3","aspartate family amino acid metabolic process",0.00830817601899588,"2/37"
"GO:1901659","Solyc05g042030.3","glycosyl compound biosynthetic process",0.00830817601899588,"2/37"
"GO:00065631","Solyc05g042030.3","L-serine metabolic process",0.00924043972558615,"2/37"
"GO:00090701","Solyc05g042030.3","serine family amino acid biosynthetic process",0.00924043972558615,"2/37"
"GO:0009119","Solyc05g042030.3","ribonucleoside metabolic process",0.0123015948108531,"2/37"
"GO:00000961","Solyc05g042030.3","sulfur amino acid metabolic process",0.0134077623474348,"2/37"
"GO:00725222","Solyc05g042030.3","purine-containing compound biosynthetic process",0.0152949125126889,"3/37"
"GO:00065201","Solyc05g042030.3","cellular amino acid metabolic process",0.0157429955897285,"5/37"
"GO:00160531","Solyc05g042030.3","organic acid biosynthetic process",0.0181216502551724,"5/37"
"GO:00463941","Solyc05g042030.3","carboxylic acid biosynthetic process",0.0181216502551724,"5/37"
"GO:19016071","Solyc05g042030.3","alpha-amino acid biosynthetic process",0.0191651564977739,"3/37"
"GO:00160511","Solyc05g042030.3","carbohydrate biosynthetic process",0.0205654553049644,"3/37"
"GO:00092501","Solyc05g042030.3","glucan biosynthetic process",0.0222822087386867,"2/37"
"GO:00197522","Solyc05g042030.3","carboxylic acid metabolic process",0.0228803307268126,"7/37"
"GO:00090691","Solyc05g042030.3","serine family amino acid metabolic process",0.0237037211864997,"2/37"
"GO:00434362","Solyc05g042030.3","oxoacid metabolic process",0.0244242966744473,"7/37"
"GO:00091161","Solyc05g042030.3","nucleoside metabolic process",0.0251617527657383,"2/37"
"GO:00060822","Solyc05g042030.3","organic acid metabolic process",0.0260400618520946,"7/37"
"GO:00511861","Solyc05g042030.3","cofactor metabolic process",0.026667197877083,"5/37"
"GO:00424461","Solyc05g042030.3","hormone biosynthetic process",0.0281848989179235,"2/37"
"GO:19016571","Solyc05g042030.3","glycosyl compound metabolic process",0.0281848989179235,"2/37"
"GO:00336921","Solyc05g042030.3","cellular polysaccharide biosynthetic process",0.0297487936649625,"2/37"
"GO:00086521","Solyc05g042030.3","cellular amino acid biosynthetic process",0.0356608686404097,"3/37"
"GO:00725212","Solyc05g042030.3","purine-containing compound metabolic process",0.0376136663544963,"3/37"
"GO:00442621","Solyc05g042030.3","cellular carbohydrate metabolic process",0.0516189370226536,"3/37"
"GO:00002711","Solyc05g042030.3","polysaccharide biosynthetic process",0.0549608879781753,"2/37"
"GO:00424452","Solyc05g042030.3","hormone metabolic process",0.0549608879781753,"2/37"
"GO:00066291","Solyc05g042030.3","lipid metabolic process",0.0559297967339743,"6/37"
"GO:00551141","Solyc05g042030.3","oxidation-reduction process",0.0563758366874865,"3/37"
"GO:19017011","Solyc05g042030.3","cellular response to oxygen-containing compound",0.0674337958875219,"2/37"
"GO:00171442","Solyc05g042030.3","drug metabolic process",0.0730122512199606,"5/37"
"GO:00064861","Solyc05g042030.3","protein glycosylation",0.073993077796018,"2/37"
"GO:00091011","Solyc05g042030.3","glycoprotein biosynthetic process",0.073993077796018,"2/37"
"GO:00434131","Solyc05g042030.3","macromolecule glycosylation",0.073993077796018,"2/37"
"GO:00096481","Solyc05g042030.3","photoperiodism",0.0750906042026895,"1/37"
"GO:00485731","Solyc05g042030.3","photoperiodism, flowering",0.0750906042026895,"1/37"
"GO:00550881","Solyc05g042030.3","lipid homeostasis",0.0750906042026895,"1/37"
"GO:00091001","Solyc05g042030.3","glycoprotein metabolic process",0.0784768782758945,"2/37"
"GO:00108172","Solyc05g042030.3","regulation of hormone levels",0.0784768782758945,"2/37"
"GO:0005991","Solyc05g042030.3","trehalose metabolic process",0.0822906142267795,"1/37"
"GO:0005992","Solyc05g042030.3","trehalose biosynthetic process",0.0822906142267795,"1/37"
"GO:0009790","Solyc05g042030.3","embryo development",0.0822906142267795,"1/37"
"GO:0009793","Solyc05g042030.3","embryo development ending in seed dormancy",0.0822906142267795,"1/37"
"GO:0009832","Solyc05g042030.3","plant-type cell wall biogenesis",0.0822906142267795,"1/37"
"GO:00082991","Solyc05g042030.3","isoprenoid biosynthetic process",0.0830452136575576,"2/37"
"GO:00467001","Solyc05g042030.3","heterocycle catabolic process",0.0853599778120906,"2/37"
"GO:00700851","Solyc05g042030.3","glycosylation",0.0853599778120906,"2/37"
"GO:00028311","Solyc05g042030.3","regulation of response to biotic stimulus",0.0894360787203843,"1/37"
"GO:0005982","Solyc05g042030.3","starch metabolic process",0.0894360787203843,"1/37"
"GO:00321011","Solyc05g042030.3","regulation of response to external stimulus",0.0894360787203843,"1/37"
"GO:00076231","Solyc05g042030.3","circadian rhythm",0.0965273995133424,"1/37"
"GO:00098671","Solyc05g042030.3","jasmonic acid mediated signaling pathway",0.0965273995133424,"1/37"
"GO:00099911","Solyc05g042030.3","response to extracellular stimulus",0.0965273995133424,"1/37"
"GO:00102281","Solyc05g042030.3","vegetative to reproductive phase transition of meristem",0.0965273995133424,"1/37"
"GO:00439001","Solyc05g042030.3","regulation of multi-organism process",0.0965273995133424,"1/37"
"GO:0046351","Solyc05g042030.3","disaccharide biosynthetic process",0.0965273995133424,"1/37"
"GO:00485111","Solyc05g042030.3","rhythmic process",0.0965273995133424,"1/37"
"GO:00713951","Solyc05g042030.3","cellular response to jasmonic acid stimulus",0.0965273995133424,"1/37"
"GO:00091081","Solyc05g042030.3","coenzyme biosynthetic process",0.102094692896927,"2/37"
"GO:0006890","Solyc05g042030.3","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0.103564975559238,"1/37"
"GO:00430941","Solyc05g042030.3","cellular metabolic compound salvage",0.103564975559238,"1/37"
"GO:19016981","Solyc05g042030.3","response to nitrogen compound",0.103564975559238,"1/37"
"GO:00060731","Solyc05g042030.3","cellular glucan metabolic process",0.10703450795808,"2/37"
"GO:00440421","Solyc05g042030.3","glucan metabolic process",0.10703450795808,"2/37"
"GO:00090671","Solyc05g042030.3","aspartate family amino acid biosynthetic process",0.110549202955387,"1/37"
"GO:0009312","Solyc05g042030.3","oligosaccharide biosynthetic process",0.110549202955387,"1/37"
"GO:00097531","Solyc05g042030.3","response to jasmonic acid",0.110549202955387,"1/37"
"GO:0048316","Solyc05g042030.3","seed development",0.110549202955387,"1/37"
"GO:00485841","Solyc05g042030.3","positive regulation of response to stimulus",0.110549202955387,"1/37"
"GO:00067201","Solyc05g042030.3","isoprenoid metabolic process",0.112038942034676,"2/37"
"GO:19013611","Solyc05g042030.3","organic cyclic compound catabolic process",0.11710494955562,"2/37"
"GO:00000971","Solyc05g042030.3","sulfur amino acid biosynthetic process",0.117480474962685,"1/37"
"GO:00069701","Solyc05g042030.3","response to osmotic stress",0.117480474962685,"1/37"
"GO:00096511","Solyc05g042030.3","response to salt stress",0.117480474962685,"1/37"
"GO:00442641","Solyc05g042030.3","cellular polysaccharide metabolic process",0.119660111932429,"2/37"
"GO:00650082","Solyc05g042030.3","regulation of biological quality",0.122682666697074,"4/37"
"GO:00466771","Solyc05g042030.3","response to antibiotic",0.124359182025331,"1/37"
"GO:00003021","Solyc05g042030.3","response to reactive oxygen species",0.13118571179041,"1/37"
"GO:00060961","Solyc05g042030.3","glycolytic process",0.13118571179041,"1/37"
"GO:00061651","Solyc05g042030.3","nucleoside diphosphate phosphorylation",0.13118571179041,"1/37"
"GO:00067571","Solyc05g042030.3","ATP generation from ADP",0.13118571179041,"1/37"
"GO:00091321","Solyc05g042030.3","nucleoside diphosphate metabolic process",0.13118571179041,"1/37"
"GO:00091351","Solyc05g042030.3","purine nucleoside diphosphate metabolic process",0.13118571179041,"1/37"
"GO:00091791","Solyc05g042030.3","purine ribonucleoside diphosphate metabolic process",0.13118571179041,"1/37"
"GO:00091851","Solyc05g042030.3","ribonucleoside diphosphate metabolic process",0.13118571179041,"1/37"
"GO:00302441","Solyc05g042030.3","cellulose biosynthetic process",0.13118571179041,"1/37"
"GO:00428661","Solyc05g042030.3","pyruvate biosynthetic process",0.13118571179041,"1/37"
"GO:0045786","Solyc05g042030.3","negative regulation of cell cycle",0.13118571179041,"1/37"
"GO:00460311","Solyc05g042030.3","ADP metabolic process",0.13118571179041,"1/37"
"GO:00469391","Solyc05g042030.3","nucleotide phosphorylation",0.13118571179041,"1/37"
"GO:00486081","Solyc05g042030.3","reproductive structure development",0.137926367367027,"2/37"
"GO:00614581","Solyc05g042030.3","reproductive system development",0.137926367367027,"2/37"
"GO:00096361","Solyc05g042030.3","response to toxic substance",0.137960449127344,"1/37"
"GO:00485891","Solyc05g042030.3","developmental growth",0.137960449127344,"1/37"
"GO:00512741","Solyc05g042030.3","beta-glucan biosynthetic process",0.137960449127344,"1/37"
"GO:00030061","Solyc05g042030.3","developmental process involved in reproduction",0.143257103116649,"2/37"
"GO:00096111","Solyc05g042030.3","response to wounding",0.14468377614722,"1/37"
"GO:00140701","Solyc05g042030.3","response to organic cyclic compound",0.14468377614722,"1/37"
"GO:00097911","Solyc05g042030.3","post-embryonic development",0.148632645706674,"2/37"
"GO:0005984","Solyc05g042030.3","disaccharide metabolic process",0.151356072221972,"1/37"
"GO:0006595","Solyc05g042030.3","polyamine metabolic process",0.151356072221972,"1/37"
"GO:0006596","Solyc05g042030.3","polyamine biosynthetic process",0.151356072221972,"1/37"
"GO:00400071","Solyc05g042030.3","growth",0.151356072221972,"1/37"
"GO:00461651","Solyc05g042030.3","alcohol biosynthetic process",0.151356072221972,"1/37"
"GO:0051301","Solyc05g042030.3","cell division",0.151356072221972,"1/37"
"GO:00069551","Solyc05g042030.3","immune response",0.157977714003454,"1/37"
"GO:00096201","Solyc05g042030.3","response to fungus",0.157977714003454,"1/37"
"GO:0016311","Solyc05g042030.3","dephosphorylation",0.157977714003454,"1/37"
"GO:00313471","Solyc05g042030.3","regulation of defense response",0.157977714003454,"1/37"
"GO:00424931","Solyc05g042030.3","response to drug",0.157977714003454,"1/37"
"GO:00450871","Solyc05g042030.3","innate immune response",0.157977714003454,"1/37"
"GO:00508321","Solyc05g042030.3","defense response to fungus",0.157977714003454,"1/37"
"GO:19016061","Solyc05g042030.3","alpha-amino acid catabolic process",0.164549075442364,"1/37"
"GO:00723301","Solyc05g042030.3","monocarboxylic acid biosynthetic process",0.170532715818616,"2/37"
"GO:0009311","Solyc05g042030.3","oligosaccharide metabolic process",0.171070527807055,"1/37"
"GO:00193591","Solyc05g042030.3","nicotinamide nucleotide biosynthetic process",0.171070527807055,"1/37"
"GO:00193631","Solyc05g042030.3","pyridine nucleotide biosynthetic process",0.171070527807055,"1/37"
"GO:00511881","Solyc05g042030.3","cofactor biosynthetic process",0.176095216439495,"2/37"
"GO:00023761","Solyc05g042030.3","immune system process",0.177542439702209,"1/37"
"GO:00091661","Solyc05g042030.3","nucleotide catabolic process",0.177542439702209,"1/37"
"GO:0009309","Solyc05g042030.3","amine biosynthetic process",0.177542439702209,"1/37"
"GO:00096171","Solyc05g042030.3","response to bacterium",0.177542439702209,"1/37"
"GO:0042401","Solyc05g042030.3","cellular biogenic amine biosynthetic process",0.177542439702209,"1/37"
"GO:00427421","Solyc05g042030.3","defense response to bacterium",0.177542439702209,"1/37"
"GO:0097164","Solyc05g042030.3","ammonium ion metabolic process",0.177542439702209,"1/37"
"GO:19012921","Solyc05g042030.3","nucleoside phosphate catabolic process",0.177542439702209,"1/37"
"GO:00090631","Solyc05g042030.3","cellular amino acid catabolic process",0.183965177087397,"1/37"
"GO:0006511","Solyc05g042030.3","ubiquitin-dependent protein catabolic process",0.187309257704859,"2/37"
"GO:00715541","Solyc05g042030.3","cell wall organization or biogenesis",0.18775883952408,"3/37"
"GO:00096391","Solyc05g042030.3","response to red or far red light",0.190339103295496,"1/37"
"GO:00097371","Solyc05g042030.3","response to abscisic acid",0.190339103295496,"1/37"
"GO:00973051","Solyc05g042030.3","response to alcohol",0.190339103295496,"1/37"
"GO:00713101","Solyc05g042030.3","cellular response to organic substance",0.192956477927933,"2/37"
"GO:00067932","Solyc05g042030.3","phosphorus metabolic process",0.195187999048332,"4/37"
"GO:19017001","Solyc05g042030.3","response to oxygen-containing compound",0.19578922062009,"2/37"
"GO:19015651","Solyc05g042030.3","organonitrogen compound catabolic process",0.199709289789636,"3/37"
"GO:0006576","Solyc05g042030.3","cellular biogenic amine metabolic process",0.202941962488194,"1/37"
"GO:0044106","Solyc05g042030.3","cellular amine metabolic process",0.202941962488194,"1/37"
"GO:00725251","Solyc05g042030.3","pyridine-containing compound biosynthetic process",0.202941962488194,"1/37"
"GO:0019941","Solyc05g042030.3","modification-dependent protein catabolic process",0.20432093715919,"2/37"
"GO:0043632","Solyc05g042030.3","modification-dependent macromolecule catabolic process",0.207175180152396,"2/37"
"GO:00060901","Solyc05g042030.3","pyruvate metabolic process",0.209171609169211,"1/37"
"GO:00801341","Solyc05g042030.3","regulation of response to stress",0.209171609169211,"1/37"
"GO:0010154","Solyc05g042030.3","fruit development",0.215353872101968,"1/37"
"GO:00487311","Solyc05g042030.3","system development",0.215765547390224,"2/37"
"GO:00464341","Solyc05g042030.3","organophosphate catabolic process",0.221489101757976,"1/37"
"GO:00060661","Solyc05g042030.3","alcohol metabolic process",0.227577646090032,"1/37"
"GO:00302431","Solyc05g042030.3","cellulose metabolic process",0.227577646090032,"1/37"
"GO:00512731","Solyc05g042030.3","beta-glucan metabolic process",0.233619850549792,"1/37"
"GO:00060911","Solyc05g042030.3","generation of precursor metabolites and energy",0.238835559248673,"2/37"
"GO:0051603","Solyc05g042030.3","proteolysis involved in cellular protein catabolic process",0.241731973582731,"2/37"
"GO:00160541","Solyc05g042030.3","organic acid catabolic process",0.245566609257958,"1/37"
"GO:00463951","Solyc05g042030.3","carboxylic acid catabolic process",0.245566609257958,"1/37"
"GO:0044257","Solyc05g042030.3","cellular protein catabolic process",0.247530949706471,"2/37"
"GO:00193621","Solyc05g042030.3","pyridine nucleotide metabolic process",0.251471842060466,"1/37"
"GO:00464961","Solyc05g042030.3","nicotinamide nucleotide metabolic process",0.251471842060466,"1/37"
"GO:0048193","Solyc05g042030.3","Golgi vesicle transport",0.251471842060466,"1/37"
"GO:00712291","Solyc05g042030.3","cellular response to acid chemical",0.251471842060466,"1/37"
"GO:00442551","Solyc05g042030.3","cellular lipid metabolic process",0.253436544284172,"3/37"
"GO:00067541","Solyc05g042030.3","ATP biosynthetic process",0.257332092133205,"1/37"
"GO:0071669","Solyc05g042030.3","plant-type cell wall organization or biogenesis",0.257332092133205,"1/37"
"GO:00000031","Solyc05g042030.3","reproduction",0.267871363400392,"2/37"
"GO:00224141","Solyc05g042030.3","reproductive process",0.267871363400392,"2/37"
"GO:00086541","Solyc05g042030.3","phospholipid biosynthetic process",0.268918974512821,"1/37"
"GO:00425461","Solyc05g042030.3","cell wall biogenesis",0.268918974512821,"1/37"
"GO:00708871","Solyc05g042030.3","cellular response to chemical stimulus",0.273689293128958,"2/37"
"GO:0006364","Solyc05g042030.3","rRNA processing",0.274646266052737,"1/37"
"GO:00091451","Solyc05g042030.3","purine nucleoside triphosphate biosynthetic process",0.274646266052737,"1/37"
"GO:00092061","Solyc05g042030.3","purine ribonucleoside triphosphate biosynthetic process",0.274646266052737,"1/37"
"GO:00327872","Solyc05g042030.3","monocarboxylic acid metabolic process",0.276598424262094,"2/37"
"GO:00090641","Solyc05g042030.3","glutamine family amino acid metabolic process",0.280329893362362,"1/37"
"GO:0016072","Solyc05g042030.3","rRNA metabolic process",0.280329893362362,"1/37"
"GO:00161141","Solyc05g042030.3","terpenoid biosynthetic process",0.280329893362362,"1/37"
"GO:00725241","Solyc05g042030.3","pyridine-containing compound metabolic process",0.280329893362362,"1/37"
"GO:0030163","Solyc05g042030.3","protein catabolic process",0.282416160299333,"2/37"
"GO:00339931","Solyc05g042030.3","response to lipid",0.285970180154481,"1/37"
"GO:00067331","Solyc05g042030.3","oxidoreduction coenzyme metabolic process",0.29156744781005,"1/37"
"GO:00904071","Solyc05g042030.3","organophosphate biosynthetic process",0.296949706452184,"2/37"
"GO:00091271","Solyc05g042030.3","purine nucleoside monophosphate biosynthetic process",0.297122015394501,"1/37"
"GO:00091681","Solyc05g042030.3","purine ribonucleoside monophosphate biosynthetic process",0.297122015394501,"1/37"
"GO:00092011","Solyc05g042030.3","ribonucleoside triphosphate biosynthetic process",0.297122015394501,"1/37"
"GO:00099081","Solyc05g042030.3","flower development",0.297122015394501,"1/37"
"GO:00905671","Solyc05g042030.3","reproductive shoot system development",0.297122015394501,"1/37"
"GO:00091421","Solyc05g042030.3","nucleoside triphosphate biosynthetic process",0.302634199673943,"1/37"
"GO:00067211","Solyc05g042030.3","terpenoid metabolic process",0.318919586190403,"1/37"
"GO:0009308","Solyc05g042030.3","amine metabolic process",0.318919586190403,"1/37"
"GO:00072751","Solyc05g042030.3","multicellular organism development",0.320130766405535,"2/37"
"GO:0006325","Solyc05g042030.3","chromatin organization",0.324265359485047,"1/37"
"GO:00091561","Solyc05g042030.3","ribonucleoside monophosphate biosynthetic process",0.324265359485047,"1/37"
"GO:00442821","Solyc05g042030.3","small molecule catabolic process",0.324265359485047,"1/37"
"GO:00460341","Solyc05g042030.3","ATP metabolic process",0.324265359485047,"1/37"
"GO:0044265","Solyc05g042030.3","cellular macromolecule catabolic process",0.325904761215525,"2/37"
"GO:00059761","Solyc05g042030.3","polysaccharide metabolic process",0.328787813238042,"2/37"
"GO:0006508","Solyc05g042030.3","proteolysis",0.331668060556871,"2/37"
"GO:0015980","Solyc05g042030.3","energy derivation by oxidation of organic compounds",0.334834709162956,"1/37"
"GO:00091241","Solyc05g042030.3","nucleoside monophosphate biosynthetic process",0.34005888996554,"1/37"
"GO:00346551","Solyc05g042030.3","nucleobase-containing compound catabolic process",0.34005888996554,"1/37"
"GO:00488781","Solyc05g042030.3","chemical homeostasis",0.34005888996554,"1/37"
"GO:00091441","Solyc05g042030.3","purine nucleoside triphosphate metabolic process",0.345243140723772,"1/37"
"GO:00092051","Solyc05g042030.3","purine ribonucleoside triphosphate metabolic process",0.345243140723772,"1/37"
"GO:19015751","Solyc05g042030.3","organic substance catabolic process",0.352214889078294,"4/37"
"GO:00100351","Solyc05g042030.3","response to inorganic substance",0.355493037096235,"1/37"
"GO:00091261","Solyc05g042030.3","purine nucleoside monophosphate metabolic process",0.360559269861784,"1/37"
"GO:00091671","Solyc05g042030.3","purine ribonucleoside monophosphate metabolic process",0.360559269861784,"1/37"
"GO:00097341","Solyc05g042030.3","auxin-activated signaling pathway",0.360559269861784,"1/37"
"GO:00432071","Solyc05g042030.3","response to external biotic stimulus",0.360559269861784,"1/37"
"GO:00517071","Solyc05g042030.3","response to other organism",0.360559269861784,"1/37"
"GO:0051726","Solyc05g042030.3","regulation of cell cycle",0.360559269861784,"1/37"
"GO:00713651","Solyc05g042030.3","cellular response to auxin stimulus",0.360559269861784,"1/37"
"GO:00985421","Solyc05g042030.3","defense response to other organism",0.360559269861784,"1/37"
"GO:00091991","Solyc05g042030.3","ribonucleoside triphosphate metabolic process",0.36558674691557,"1/37"
"GO:00452291","Solyc05g042030.3","external encapsulating structure organization",0.36880042747164,"2/37"
"GO:00715551","Solyc05g042030.3","cell wall organization",0.36880042747164,"2/37"
"GO:00442481","Solyc05g042030.3","cellular catabolic process",0.374098359239773,"4/37"
"GO:00091521","Solyc05g042030.3","purine ribonucleotide biosynthetic process",0.375526585002701,"1/37"
"GO:00061641","Solyc05g042030.3","purine nucleotide biosynthetic process",0.380439516398597,"1/37"
"GO:00066441","Solyc05g042030.3","phospholipid metabolic process",0.385314832836975,"1/37"
"GO:00091611","Solyc05g042030.3","ribonucleoside monophosphate metabolic process",0.385314832836975,"1/37"
"GO:00488561","Solyc05g042030.3","anatomical structure development",0.388500934365895,"2/37"
"GO:00483671","Solyc05g042030.3","shoot system development",0.390152814369634,"1/37"
"GO:00100331","Solyc05g042030.3","response to organic substance",0.391295654416447,"2/37"
"GO:00067962","Solyc05g042030.3","phosphate-containing compound metabolic process",0.397979754896054,"3/37"
"GO:00091231","Solyc05g042030.3","nucleoside monophosphate metabolic process",0.399717882809693,"1/37"
"GO:00091411","Solyc05g042030.3","nucleoside triphosphate metabolic process",0.399717882809693,"1/37"
"GO:00442701","Solyc05g042030.3","cellular nitrogen compound catabolic process",0.399717882809693,"1/37"
"GO:00092601","Solyc05g042030.3","ribonucleotide biosynthetic process",0.404445519747974,"1/37"
"GO:00463901","Solyc05g042030.3","ribose phosphate biosynthetic process",0.404445519747974,"1/37"
"GO:00485831","Solyc05g042030.3","regulation of response to stimulus",0.404445519747974,"1/37"
"GO:00325011","Solyc05g042030.3","multicellular organismal process",0.41345951901421,"2/37"
"GO:0022402","Solyc05g042030.3","cell cycle process",0.413792359240733,"1/37"
"GO:00094161","Solyc05g042030.3","response to light stimulus",0.43205979430863,"1/37"
"GO:0048523","Solyc05g042030.3","negative regulation of cellular process",0.43205979430863,"1/37"
"GO:00096071","Solyc05g042030.3","response to biotic stimulus",0.436539390900099,"1/37"
"GO:00194391","Solyc05g042030.3","aromatic compound catabolic process",0.436539390900099,"1/37"
"GO:00011011","Solyc05g042030.3","response to acid chemical",0.440984602528392,"1/37"
"GO:00093141","Solyc05g042030.3","response to radiation",0.440984602528392,"1/37"
